,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
101,297,Serialize and Deserialize Binary Tree,52.1%,Hard,,7.08788
102,301,Remove Invalid Parentheses,45.9%,Hard,,5.65312
103,303,Range Sum Query - Immutable,52.9%,Easy,,8.44708
104,309,Best Time to Buy and Sell Stock with Cooldown,50.7%,Medium,,7.12448
105,322,Coin Change,39.0%,Medium,,1.42823
106,329,Longest Increasing Path in a Matrix,48.3%,Hard,,10.8899
107,334,Increasing Triplet Subsequence,41.1%,Medium,,13.0272
108,341,Flatten Nested List Iterator,57.5%,Medium,,8.69281
109,347,Top K Frequent Elements,63.7%,Medium,,3.84983
110,387,First Unique Character in a String,55.6%,Easy,,3.29446
111,388,Longest Absolute File Path,44.7%,Medium,,16.4741
112,392,Is Subsequence,50.0%,Easy,,16.4644
113,437,Path Sum III,49.6%,Medium,,1.78729
114,453,Minimum Moves to Equal Array Elements,52.7%,Medium,,13.6233
115,454,4Sum II,55.6%,Medium,,9.65636
116,456,132 Pattern,30.7%,Medium,,41.5874
117,463,Island Perimeter,68.3%,Easy,,1.40088
118,494,Target Sum,45.2%,Medium,,4.62792
119,496,Next Greater Element I,68.6%,Easy,,11.546
120,503,Next Greater Element II,60.6%,Medium,,5.0446
121,507,Perfect Number,37.2%,Easy,,20.5111
122,518,Coin Change 2,55.1%,Medium,,11.1066
123,526,Beautiful Arrangement,63.4%,Medium,,10.6602
124,540,Single Element in a Sorted Array,58.1%,Medium,,7.7455
125,541,Reverse String II,49.9%,Easy,,13.4844
126,543,Diameter of Binary Tree,52.3%,Easy,,0.958494
127,572,Subtree of Another Tree,44.9%,Easy,,7.24306
128,581,Shortest Unsorted Continuous Subarray,33.6%,Medium,,10.7676
129,617,Merge Two Binary Trees,76.9%,Easy,,2.41008
130,645,Set Mismatch,41.1%,Easy,,12.1678
131,692,Top K Frequent Words,53.9%,Medium,,5.27638
132,739,Daily Temperatures,66.1%,Medium,,4.41542
133,704,Binary Search,54.7%,Easy,,1.58554
134,781,Rabbits in Forest,55.8%,Medium,,49.736
135,790,Domino and Tromino Tiling,41.3%,Medium,,100
136,797,All Paths From Source to Target,79.6%,Medium,,4.05052
137,802,Find Eventual Safe States,51.2%,Medium,,23.2969
138,845,Longest Mountain in Array,39.3%,Medium,,25.1298
139,871,Minimum Number of Refueling Stops,35.2%,Hard,,10.4556
140,876,Middle of the Linked List,70.7%,Easy,,3.24471
141,894,All Possible Full Binary Trees,78.8%,Medium,,15.7908
142,909,Snakes and Ladders,39.6%,Medium,,17.9536
143,910,Smallest Range II,31.9%,Medium,,53.2647
144,912,Sort an Array,62.8%,Medium,,10.2424
145,977,Squares of a Sorted Array,71.5%,Easy,,0.877338
146,992,Subarrays with K Different Integers,52.5%,Hard,,17.5234
147,994,Rotting Oranges,51.1%,Medium,,1.17832
148,1004,Max Consecutive Ones III,61.6%,Medium,,5.04918
149,1043,Partition Array for Maximum Sum,69.5%,Medium,,30.5105
150,1074,Number of Submatrices That Sum to Target,65.9%,Hard,,50.3673
151,1188,Design Bounded Blocking Queue,73.2%,Medium,,41.1223
152,1143,Longest Common Subsequence,58.8%,Medium,,4.71928
153,1192,Critical Connections in a Network,51.9%,Hard,,13.5041
154,1235,Maximum Profit in Job Scheduling,50.2%,Hard,,6.41523
155,1480,Running Sum of 1d Array,89.2%,Easy,,3.7484
156,1588,Sum of All Odd Length Subarrays,82.4%,Easy,,30.853
157,1672,Richest Customer Wealth,88.2%,Easy,,4.84158
158,1710,Maximum Units on a Truck,72.1%,Easy,,4.6912
159,1749,Maximum Absolute Sum of Any Subarray,55.5%,Medium,,38.7155
160,1773,Count Items Matching a Rule,84.7%,Easy,,10.1058
161,1863,Sum of All Subset XOR Totals,78.1%,Easy,,24.1262
