,#,Title,Acceptance,Difficulty,FrequencyFrequency of problems that appear in real interviews,Frequency
41,50,"Pow(x, n)",31.6%,Medium,,10.2152
42,51,N-Queens,54.6%,Hard,,15.0004
43,53,Maximum Subarray,48.9%,Easy,,15.0673
44,54,Spiral Matrix,39.3%,Medium,,28.9525
45,55,Jump Game,36.8%,Medium,,0.815649
46,56,Merge Intervals,43.2%,Medium,,14.4166
47,57,Insert Interval,36.6%,Medium,,8.23591
48,59,Spiral Matrix II,60.4%,Medium,,5.95409
49,61,Rotate List,33.0%,Medium,,4.22471
50,62,Unique Paths,58.1%,Medium,,7.1243
51,67,Add Binary,48.9%,Easy,,2.34392
52,70,Climbing Stairs,50.0%,Easy,,1.14832
53,72,Edit Distance,49.2%,Hard,,4.19395
54,73,Set Matrix Zeroes,46.7%,Medium,,2.47868
55,74,Search a 2D Matrix,40.7%,Medium,,3.75584
56,75,Sort Colors,52.8%,Medium,,5.23482
57,79,Word Search,38.9%,Medium,,11.9684
58,84,Largest Rectangle in Histogram,39.0%,Hard,,16.5143
59,85,Maximal Rectangle,40.9%,Hard,,21.4584
60,87,Scramble String,35.2%,Hard,,26.1845
61,88,Merge Sorted Array,42.2%,Easy,,3.65793
62,90,Subsets II,51.5%,Medium,,4.07641
63,92,Reverse Linked List II,42.5%,Medium,,55.1256
64,93,Restore IP Addresses,39.9%,Medium,,18.8491
65,95,Unique Binary Search Trees II,47.3%,Medium,,10.2056
66,98,Validate Binary Search Tree,29.7%,Medium,,2.45035
67,99,Recover Binary Search Tree,44.8%,Medium,,6.77487
68,101,Symmetric Tree,50.2%,Easy,,3.18911
69,102,Binary Tree Level Order Traversal,59.2%,Medium,,5.17193
70,103,Binary Tree Zigzag Level Order Traversal,52.1%,Medium,,2.52276
71,104,Maximum Depth of Binary Tree,70.1%,Easy,,1.05792
72,105,Construct Binary Tree from Preorder and Inorder Traversal,55.4%,Medium,,2.88517
73,108,Convert Sorted Array to Binary Search Tree,64.1%,Easy,,5.84466
74,112,Path Sum,44.1%,Easy,,1.89722
75,118,Pascal's Triangle,60.4%,Easy,,9.70985
76,121,Best Time to Buy and Sell Stock,52.9%,Easy,,60.7351
77,122,Best Time to Buy and Sell Stock II,60.4%,Medium,,1.54406
78,125,Valid Palindrome,39.9%,Easy,,22.3879
79,127,Word Ladder,33.7%,Hard,,29.111
80,128,Longest Consecutive Sequence,48.0%,Medium,,2.68705
81,133,Clone Graph,43.4%,Medium,,2.48338
82,137,Single Number II,55.4%,Medium,,9.93453
83,139,Word Break,43.3%,Medium,,5.95717
84,140,Word Break II,39.2%,Hard,,4.5042
85,146,LRU Cache,38.3%,Medium,,26.3206
86,147,Insertion Sort List,46.2%,Medium,,18.911
87,148,Sort List,49.0%,Medium,,11.8618
88,149,Max Points on a Line,19.2%,Hard,,24.1902
89,150,Evaluate Reverse Polish Notation,40.7%,Medium,,5.59004
90,151,Reverse Words in a String,26.8%,Medium,,2.50375
91,152,Maximum Product Subarray,33.6%,Medium,,6.6146
92,153,Find Minimum in Rotated Sorted Array,47.4%,Medium,,3.58643
93,155,Min Stack,48.8%,Easy,,3.96979
94,158,Read N Characters Given read4 II - Call Multiple Times,39.6%,Hard,,34.3101
95,160,Intersection of Two Linked Lists,47.5%,Easy,,13.2668
96,162,Find Peak Element,45.0%,Medium,,1.89136
97,164,Maximum Gap,40.5%,Hard,,26.2801
98,166,Fraction to Recurring Decimal,23.0%,Medium,,11.8228
99,167,Two Sum II - Input Array Is Sorted,57.3%,Easy,,1.08933
100,169,Majority Element,61.4%,Easy,,3.75715
101,175,Combine Two Tables,67.8%,Easy,,2.73036
102,176,Second Highest Salary,34.7%,Medium,,3.32063
103,177,Nth Highest Salary,35.1%,Medium,,13.608
104,179,Largest Number,32.0%,Medium,,7.74194
105,181,Employees Earning More Than Their Managers,64.2%,Easy,,3.97898
106,188,Best Time to Buy and Sell Stock IV,31.8%,Hard,,8.79661
107,189,Rotate Array,37.2%,Medium,,3.94113
108,191,Number of 1 Bits,57.0%,Easy,,2.49004
109,192,Word Frequency,25.5%,Medium,,62.2412
110,198,House Robber,45.0%,Medium,,4.61314
111,200,Number of Islands,52.0%,Medium,,25.8711
112,202,Happy Number,52.2%,Easy,,20.1466
113,203,Remove Linked List Elements,41.3%,Easy,,2.2315
114,204,Count Primes,32.8%,Medium,,4.42734
115,206,Reverse Linked List,68.3%,Easy,,2.93113
116,207,Course Schedule,44.7%,Medium,,4.11348
117,208,Implement Trie (Prefix Tree),55.8%,Medium,,1.45138
118,210,Course Schedule II,44.9%,Medium,,9.27093
119,211,Design Add and Search Words Data Structure,42.5%,Medium,,5.56735
120,212,Word Search II,38.4%,Hard,,1.68597
121,214,Shortest Palindrome,31.3%,Hard,,21.7045
122,215,Kth Largest Element in an Array,61.4%,Medium,,1.43254
123,217,Contains Duplicate,59.0%,Easy,,1.42201
124,218,The Skyline Problem,37.8%,Hard,,31.5991
125,223,Rectangle Area,39.4%,Medium,,26.6202
126,224,Basic Calculator,39.5%,Hard,,6.89655
127,226,Invert Binary Tree,69.8%,Easy,,0.826321
128,227,Basic Calculator II,40.0%,Medium,,19.8862
129,229,Majority Element II,40.7%,Medium,,6.40141
130,230,Kth Smallest Element in a BST,65.1%,Medium,,2.72932
131,232,Implement Queue using Stacks,55.3%,Easy,,3.40222
132,236,Lowest Common Ancestor of a Binary Tree,52.7%,Medium,,1.59573
133,237,Delete Node in a Linked List,70.0%,Easy,,5.89464
134,238,Product of Array Except Self,62.7%,Medium,,11.8972
135,239,Sliding Window Maximum,45.7%,Hard,,2.38152
136,240,Search a 2D Matrix II,46.9%,Medium,,3.64878
137,242,Valid Anagram,60.2%,Easy,,1.30157
138,268,Missing Number,57.6%,Easy,,1.80484
139,273,Integer to English Words,29.0%,Hard,,15.683
140,274,H-Index,37.0%,Medium,,17.551
141,277,Find the Celebrity,45.4%,Medium,,39.2598
142,278,First Bad Version,39.9%,Easy,,3.3576
143,279,Perfect Squares,51.1%,Medium,,1.45197
144,283,Move Zeroes,59.6%,Easy,,3.65491
145,284,Peeking Iterator,52.4%,Medium,,49.7507
146,289,Game of Life,61.2%,Medium,,9.12841
147,295,Find Median from Data Stream,49.5%,Hard,,14.888
148,297,Serialize and Deserialize Binary Tree,52.1%,Hard,,7.34527
149,300,Longest Increasing Subsequence,47.3%,Medium,,1.83695
150,301,Remove Invalid Parentheses,45.9%,Hard,,13.115
151,305,Number of Islands II,39.3%,Hard,,14.8076
152,313,Super Ugly Number,46.7%,Medium,,23.4165
153,314,Binary Tree Vertical Order Traversal,49.1%,Medium,,4.86238
154,315,Count of Smaller Numbers After Self,42.0%,Hard,,33.071
155,316,Remove Duplicate Letters,40.6%,Medium,,19.1047
156,322,Coin Change,39.0%,Medium,,13.2126
157,329,Longest Increasing Path in a Matrix,48.3%,Hard,,11.2854
158,341,Flatten Nested List Iterator,57.5%,Medium,,20.1129
159,343,Integer Break,52.6%,Medium,,8.5157
160,344,Reverse String,72.5%,Easy,,3.64889
161,347,Top K Frequent Elements,63.7%,Medium,,7.07747
162,348,Design Tic-Tac-Toe,56.7%,Medium,,24.2354
163,349,Intersection of Two Arrays,67.4%,Easy,,3.15753
164,350,Intersection of Two Arrays II,53.8%,Easy,,3.49984
165,359,Logger Rate Limiter,74.0%,Easy,,5.62388
166,362,Design Hit Counter,66.5%,Medium,,53.4316
167,368,Largest Divisible Subset,39.1%,Medium,,22.1725
168,373,Find K Pairs with Smallest Sums,38.9%,Medium,,10.4424
169,376,Wiggle Subsequence,43.6%,Medium,,27.9223
170,378,Kth Smallest Element in a Sorted Matrix,58.5%,Medium,,14.3081
171,380,Insert Delete GetRandom O(1),50.7%,Medium,,5.69562
172,384,Shuffle an Array,55.9%,Medium,,13.489
173,387,First Unique Character in a String,55.6%,Easy,,3.4141
174,394,Decode String,54.6%,Medium,,28.6412
175,395,Longest Substring with At Least K Repeating Characters,44.2%,Medium,,15.6612
176,403,Frog Jump,42.4%,Hard,,69.0343
177,410,Split Array Largest Sum,48.6%,Hard,,7.36008
178,412,Fizz Buzz,65.3%,Easy,,3.63542
179,416,Partition Equal Subset Sum,45.7%,Medium,,4.18846
180,417,Pacific Atlantic Water Flow,46.5%,Medium,,16.6673
181,435,Non-overlapping Intervals,46.4%,Medium,,4.54113
182,442,Find All Duplicates in an Array,71.4%,Medium,,1.1537
183,443,String Compression,46.2%,Medium,,51.1655
184,445,Add Two Numbers II,57.7%,Medium,,7.21262
185,463,Island Perimeter,68.3%,Easy,,3.26232
186,496,Next Greater Element I,68.6%,Easy,,1.33934
187,503,Next Greater Element II,60.6%,Medium,,11.7096
188,508,Most Frequent Subtree Sum,61.3%,Medium,,20.4122
189,522,Longest Uncommon Subsequence II,39.9%,Medium,,79.7057
190,525,Contiguous Array,44.5%,Medium,,30.1157
191,542,01 Matrix,43.1%,Medium,,3.71227
192,543,Diameter of Binary Tree,52.3%,Easy,,0.993301
193,547,Number of Provinces,62.2%,Medium,,9.82439
194,557,Reverse Words in a String III,75.5%,Easy,,8.0223
195,560,Subarray Sum Equals K,43.7%,Medium,,1.45622
196,636,Exclusive Time of Functions,57.9%,Medium,,15.1832
197,658,Find K Closest Elements,43.7%,Medium,,5.76575
198,662,Maximum Width of Binary Tree,39.6%,Medium,,42.0707
199,675,Cut Off Trees for Golf Event,35.4%,Hard,,36.0975
200,678,Valid Parenthesis String,32.4%,Medium,,94.4638
201,680,Valid Palindrome II,37.9%,Easy,,4.93562
202,692,Top K Frequent Words,53.9%,Medium,,21.6271
203,695,Max Area of Island,68.0%,Medium,,2.37465
204,698,Partition to K Equal Sum Subsets,45.8%,Medium,,7.61502
205,717,1-bit and 2-bit Characters,46.3%,Easy,,29.4819
206,718,Maximum Length of Repeated Subarray,51.2%,Medium,,9.99313
207,721,Accounts Merge,54.2%,Medium,,11.6402
208,725,Split Linked List in Parts,56.1%,Medium,,25.4217
209,733,Flood Fill,56.9%,Easy,,2.61009
210,739,Daily Temperatures,66.1%,Medium,,10.2549
211,740,Delete and Earn,53.7%,Medium,,4.4748
212,746,Min Cost Climbing Stairs,55.8%,Easy,,2.18213
213,759,Employee Free Time,70.2%,Hard,,68.4139
214,428,Serialize and Deserialize N-ary Tree,63.4%,Hard,,100
215,763,Partition Labels,78.4%,Medium,,5.00345
216,767,Reorganize String,51.2%,Medium,,15.879
217,797,All Paths From Source to Target,79.6%,Medium,,9.41045
218,706,Design HashMap,63.8%,Easy,,53.805
219,707,Design Linked List,26.5%,Medium,,5.94794
220,844,Backspace String Compare,47.4%,Easy,,3.92315
221,863,All Nodes Distance K in Binary Tree,59.8%,Medium,,10.1664
222,871,Minimum Number of Refueling Stops,35.2%,Hard,,10.8353
223,876,Middle of the Linked List,70.7%,Easy,,3.36254
224,528,Random Pick with Weight,45.6%,Medium,,17.311
225,890,Find and Replace Pattern,75.5%,Medium,,27.9102
226,895,Maximum Frequency Stack,64.2%,Hard,,18.5456
227,904,Fruit Into Baskets,43.2%,Medium,,17.013
228,910,Smallest Range II,31.9%,Medium,,55.199
229,912,Sort an Array,62.8%,Medium,,4.73682
230,934,Shortest Bridge,51.7%,Medium,,54.4421
231,947,Most Stones Removed with Same Row or Column,56.2%,Medium,,17.5403
232,509,Fibonacci Number,67.8%,Easy,,1.1692
233,977,Squares of a Sorted Array,71.5%,Easy,,0.909198
234,980,Unique Paths III,77.6%,Hard,,20.1129
235,981,Time Based Key-Value Store,53.4%,Medium,,5.99499
236,986,Interval List Intersections,69.7%,Medium,,4.31458
237,994,Rotting Oranges,51.1%,Medium,,1.2211
238,1002,Find Common Characters,68.6%,Easy,,15.1983
239,1004,Max Consecutive Ones III,61.6%,Medium,,11.7202
240,1022,Sum of Root To Leaf Binary Numbers,72.2%,Easy,,16.6096
241,1229,Meeting Scheduler,54.8%,Medium,,26.0896
242,1171,Remove Zero Sum Consecutive Nodes from Linked List,42.0%,Medium,,45.1555
243,1192,Critical Connections in a Network,51.9%,Hard,,13.9945
244,1209,Remove All Adjacent Duplicates in String II,56.2%,Medium,,15.3087
245,1219,Path with Maximum Gold,66.0%,Medium,,21.1157
246,1254,Number of Closed Islands,62.7%,Medium,,14.8458
247,1275,Find Winner on a Tic Tac Toe Game,55.7%,Easy,,48.4483
248,1282,Group the People Given the Group Size They Belong To,84.9%,Medium,,27.9644
249,1312,Minimum Insertion Steps to Make a String Palindrome,62.0%,Hard,,25.0894
250,1319,Number of Operations to Make Network Connected,56.3%,Medium,,14.6718
251,1373,Maximum Sum BST in Binary Tree,37.9%,Hard,,24.1631
252,1380,Lucky Numbers in a Matrix,70.6%,Easy,,28.1009
253,1395,Count Number of Teams,70.8%,Medium,,15.9916
254,1423,Maximum Points You Can Obtain from Cards,49.4%,Medium,,8.72466
255,1463,Cherry Pickup II,68.4%,Hard,,91.373
256,1470,Shuffle the Array,88.1%,Easy,,5.34519
257,1473,Paint House III,49.7%,Hard,,85.8368
258,1480,Running Sum of 1d Array,89.2%,Easy,,8.71088
259,1487,Making File Names Unique,33.4%,Medium,,83.7875
260,1512,Number of Good Pairs,87.7%,Easy,,5.14835
261,1539,Kth Missing Positive Number,54.9%,Easy,,29.124
262,1588,Sum of All Odd Length Subarrays,82.4%,Easy,,14.386
263,1654,Minimum Jumps to Reach Home,25.5%,Medium,,32.4011
264,1647,Minimum Deletions to Make Character Frequencies Unique,55.9%,Medium,,8.99442
265,1684,Count the Number of Consistent Strings,81.7%,Easy,,13.1509
266,1650,Lowest Common Ancestor of a Binary Tree III,77.4%,Medium,,4.87307
267,1732,Find the Highest Altitude,79.1%,Easy,,32.276
268,1804,Implement Trie II (Prefix Tree),58.3%,Medium,,67.0245
269,1823,Find the Winner of the Circular Game,74.2%,Medium,,13.266
270,1832,Check if the Sentence Is Pangram,81.8%,Easy,,11.4697
271,1857,Largest Color Value in a Directed Graph,37.7%,Hard,,65.4991
272,1878,Get Biggest Three Rhombus Sums in a Grid,44.1%,Medium,,74.5705
